Product Name,Current Factory,Scenario Factory,Current Slow Probability,Predicted Slow Probability,Probability Reduction,Improvement_Percentage_Points,Recommendation
Everlasting Gobstopper,Secret Factory,The Other Factory,0.5247327258600903,0.498854064662293,0.02587866119779736,2.587866119779736,NO STRONG ML SIGNAL
Fizzy Lifting Drinks,Sugar Shack,The Other Factory,0.2926228986400306,0.2781941754093261,0.014428723230704488,1.4428723230704488,NO STRONG ML SIGNAL
Laffy Taffy,Sugar Shack,The Other Factory,0.3665854496355031,0.3529030354350557,0.013682414200447413,1.3682414200447413,NO STRONG ML SIGNAL
Lickable Wallpaper,Secret Factory,The Other Factory,0.34511943549706275,0.33288505906097937,0.012234376436083383,1.2234376436083383,NO STRONG ML SIGNAL
Wonka Gum,Secret Factory,The Other Factory,0.31483667906047436,0.3027407782891676,0.012095900771306733,1.2095900771306733,NO STRONG ML SIGNAL
SweeTARTS,Sugar Shack,The Other Factory,0.4593193738820031,0.44726520101898937,0.012054172863013746,1.2054172863013746,NO STRONG ML SIGNAL
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,0.32902664486227245,0.3192686125548425,0.009758032307429942,0.9758032307429942,NO STRONG ML SIGNAL
Nerds,Sugar Shack,The Other Factory,0.48665598227031426,0.4774038968475837,0.009252085422730538,0.9252085422730538,NO STRONG ML SIGNAL
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,0.3164426964150509,0.309277072960279,0.007165623454771897,0.7165623454771897,NO STRONG ML SIGNAL
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,0.3161550374010338,0.3092461189183279,0.006908918482705917,0.6908918482705917,NO STRONG ML SIGNAL
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,0.3258505217031831,0.31933133710395273,0.006519184599230399,0.6519184599230399,NO STRONG ML SIGNAL
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,0.3094075133405863,0.3032808536870502,0.006126659653536093,0.6126659653536093,NO STRONG ML SIGNAL
Hair Toffee,The Other Factory,Wicked Choccy's,0.36973023496099194,0.3694305076052002,0.0002997273557917568,0.02997273557917568,NO STRONG ML SIGNAL
Fun Dip,Sugar Shack,Lot's O' Nuts,0.44419362692585435,0.4459317625535472,-0.0017381356276928717,-0.17381356276928717,NO STRONG ML SIGNAL
Kazookles,The Other Factory,Lot's O' Nuts,0.26053648092817844,0.2685113232158542,-0.007974842287675754,-0.7974842287675754,NO STRONG ML SIGNAL
