Product Name,Current Factory,Scenario Factory,Current Slow Probability,Predicted Slow Probability,Probability_Reduction_Percentage_Points,ML_Signal,Final_Action,Records,Orders,Sales,Units,Gross_Profit,Estimated_Avoided_Slow_Records
Everlasting Gobstopper,Secret Factory,The Other Factory,0.524732726,0.498854065,2.58786612,NO STRONG ML SIGNAL,KEEP CURRENT FACTORY,3,3,130,13,104,0.077635984
Fizzy Lifting Drinks,Sugar Shack,The Other Factory,0.292622899,0.278194175,1.442872323,NO STRONG ML SIGNAL,KEEP CURRENT FACTORY,6,6,78.75,21,47.25,0.086572339
Laffy Taffy,Sugar Shack,The Other Factory,0.36658545,0.352903035,1.36824142,NO STRONG ML SIGNAL,KEEP CURRENT FACTORY,10,10,53.73,27,33.48,0.136824142
Lickable Wallpaper,Secret Factory,The Other Factory,0.345119435,0.332885059,1.223437644,NO STRONG ML SIGNAL,KEEP CURRENT FACTORY,94,92,7860,393,3930,1.150031385
Wonka Gum,Secret Factory,The Other Factory,0.314836679,0.302740778,1.209590077,NO STRONG ML SIGNAL,KEEP CURRENT FACTORY,120,118,597.5,478,310.7,1.451508093
SweeTARTS,Sugar Shack,The Other Factory,0.459319374,0.447265201,1.205417286,NO STRONG ML SIGNAL,KEEP CURRENT FACTORY,10,10,61.5,41,28.7,0.120541729
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,0.329026645,0.319268613,0.975803231,NO STRONG ML SIGNAL,KEEP CURRENT FACTORY,2137,1768,26867.75,8267,17443.37,20.85291504
Nerds,Sugar Shack,The Other Factory,0.486655982,0.477403897,0.925208542,NO STRONG ML SIGNAL,KEEP CURRENT FACTORY,4,4,15,10,7,0.037008342
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,0.316442696,0.309277073,0.716562345,NO STRONG ML SIGNAL,KEEP CURRENT FACTORY,2015,1677,28485,7596,18610.2,14.43873126
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,0.316155037,0.309246119,0.690891848,NO STRONG ML SIGNAL,KEEP CURRENT FACTORY,1818,1527,24890.4,6914,16593.6,12.5604138
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,0.325850522,0.319331337,0.65191846,NO STRONG ML SIGNAL,KEEP CURRENT FACTORY,1810,1529,23574.95,6755,16819.95,11.79972412
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,0.309407513,0.303280854,0.612665965,NO STRONG ML SIGNAL,KEEP CURRENT FACTORY,2064,1704,27874.8,7743,19357.5,12.64542552
Hair Toffee,The Other Factory,Wicked Choccy's,0.369730235,0.369430508,0.029972736,NO STRONG ML SIGNAL,KEEP CURRENT FACTORY,4,4,76.5,17,59.5,0.001198909
Fun Dip,Sugar Shack,Lot's O' Nuts,0.444193627,0.445931763,-0.173813563,NO STRONG ML SIGNAL,KEEP CURRENT FACTORY,3,3,12,8,4.8,-0.005214407
Kazookles,The Other Factory,Lot's O' Nuts,0.260536481,0.268511323,-0.797484229,NO STRONG ML SIGNAL,KEEP CURRENT FACTORY,96,94,1205.75,371,92.75,-0.76558486
