Product Name,Current Factory,Scenario Factory,Current Slow Probability,Predicted Slow Probability,Probability Reduction,Improvement_Percentage_Points,Recommendation,Probability_Reduction_Percentage_Points,Records,Orders,Sales,Units,Gross_Profit,ML_Signal,Estimated_Avoided_Slow_Records,Final_Action
Everlasting Gobstopper,Secret Factory,The Other Factory,0.5247327258600903,0.498854064662293,0.0258786611977973,2.587866119779736,NO STRONG ML SIGNAL,2.587866119779736,3,3,130.0,13,104.0,NO STRONG ML SIGNAL,0.07763598359339208,KEEP CURRENT FACTORY
Fizzy Lifting Drinks,Sugar Shack,The Other Factory,0.2926228986400306,0.2781941754093261,0.0144287232307044,1.4428723230704488,NO STRONG ML SIGNAL,1.4428723230704488,6,6,78.75,21,47.25,NO STRONG ML SIGNAL,0.08657233938422693,KEEP CURRENT FACTORY
Laffy Taffy,Sugar Shack,The Other Factory,0.3665854496355031,0.3529030354350557,0.0136824142004474,1.3682414200447413,NO STRONG ML SIGNAL,1.3682414200447413,10,10,53.73,27,33.480000000000004,NO STRONG ML SIGNAL,0.13682414200447413,KEEP CURRENT FACTORY
Lickable Wallpaper,Secret Factory,The Other Factory,0.3451194354970627,0.3328850590609793,0.0122343764360833,1.2234376436083385,NO STRONG ML SIGNAL,1.2234376436083383,94,92,7860.0,393,3930.0,NO STRONG ML SIGNAL,1.150031384991838,KEEP CURRENT FACTORY
Wonka Gum,Secret Factory,The Other Factory,0.3148366790604743,0.3027407782891676,0.0120959007713067,1.2095900771306731,NO STRONG ML SIGNAL,1.2095900771306678,120,118,597.5,478,310.7,NO STRONG ML SIGNAL,1.4515080925568014,KEEP CURRENT FACTORY
SweeTARTS,Sugar Shack,The Other Factory,0.4593193738820031,0.4472652010189893,0.0120541728630137,1.2054172863013746,NO STRONG ML SIGNAL,1.2054172863013801,10,10,61.5,41,28.7,NO STRONG ML SIGNAL,0.120541728630138,KEEP CURRENT FACTORY
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,0.3290266448622724,0.3192686125548425,0.0097580323074299,0.9758032307429942,NO STRONG ML SIGNAL,0.9758032307429887,2137,1768,26867.75,8267,17443.37,NO STRONG ML SIGNAL,20.852915040977667,KEEP CURRENT FACTORY
Nerds,Sugar Shack,The Other Factory,0.4866559822703142,0.4774038968475837,0.0092520854227305,0.9252085422730538,NO STRONG ML SIGNAL,0.9252085422730483,4,4,15.0,10,7.0,NO STRONG ML SIGNAL,0.03700834169092193,KEEP CURRENT FACTORY
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,0.3164426964150509,0.309277072960279,0.0071656234547718,0.7165623454771897,NO STRONG ML SIGNAL,0.7165623454771897,2015,1677,28485.0,7596,18610.2,NO STRONG ML SIGNAL,14.43873126136537,KEEP CURRENT FACTORY
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,0.3161550374010338,0.3092461189183279,0.0069089184827059,0.6908918482705917,NO STRONG ML SIGNAL,0.6908918482705917,1818,1527,24890.4,6914,16593.6,NO STRONG ML SIGNAL,12.560413801559356,KEEP CURRENT FACTORY
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,0.3258505217031831,0.3193313371039527,0.0065191845992303,0.6519184599230399,NO STRONG ML SIGNAL,0.6519184599230454,1810,1529,23574.95,6755,16819.95,NO STRONG ML SIGNAL,11.79972412460712,KEEP CURRENT FACTORY
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,0.3094075133405863,0.3032808536870502,0.006126659653536,0.6126659653536093,NO STRONG ML SIGNAL,0.6126659653536093,2064,1704,27874.8,7743,19357.5,NO STRONG ML SIGNAL,12.645425524898496,KEEP CURRENT FACTORY
Hair Toffee,The Other Factory,Wicked Choccy's,0.3697302349609919,0.3694305076052002,0.0002997273557917,0.0299727355791756,NO STRONG ML SIGNAL,0.02997273557917013,4,4,76.5,17,59.5,NO STRONG ML SIGNAL,0.0011989094231668052,KEEP CURRENT FACTORY
Fun Dip,Sugar Shack,Lot's O' Nuts,0.4441936269258543,0.4459317625535472,-0.0017381356276928,-0.1738135627692871,NO STRONG ML SIGNAL,-0.17381356276929272,3,3,12.0,8,4.8,NO STRONG ML SIGNAL,-0.0052144068830787815,KEEP CURRENT FACTORY
Kazookles,The Other Factory,Lot's O' Nuts,0.2605364809281784,0.2685113232158542,-0.0079748422876757,-0.7974842287675754,NO STRONG ML SIGNAL,-0.797484228767581,96,94,1205.75,371,92.75,NO STRONG ML SIGNAL,-0.7655848596168778,KEEP CURRENT FACTORY
