Original_Feature,Importance,Importance_Percentage
Order_Year,0.40900838632100184,40.90083863210018
Ship Mode,0.2601995706863159,26.019957068631587
State/Province,0.07282631471356117,7.282631471356117
Order_DayOfWeek,0.0676871027081212,6.76871027081212
Order_Month,0.0355818609341295,3.5581860934129503
Cost,0.02442748012300583,2.4427480123005827
Gross Profit,0.023838305547641825,2.3838305547641827
Sales,0.022171224758209797,2.2171224758209798
Product Name,0.021834713152422993,2.1834713152422993
Region,0.01850751384076626,1.8507513840766259
Order_Quarter,0.016329402983788967,1.6329402983788968
Units,0.015492663028168156,1.5492663028168157
Factory,0.008787767844298886,0.8787767844298886
Division,0.0017860548878395842,0.17860548878395843
Country/Region,0.0015216384707281152,0.15216384707281153
